id_cliente_principal,id_cliente_vinculado,id_cliente_desativacao,id_profiz_app_usuario_perfil,id_profiz_app_usuario_sub_conta_convite,ativo,data_aceite,data_desativacao,data_atualizacao
18,10276,0,2,17,s,"2023-10-10 08:46:06",NULL,"2023-10-10 08:46:06"
18,21503,0,2,4,s,"2023-10-06 16:55:54",NULL,"2023-10-06 16:55:54"
18,23331,0,2,3,s,"2023-10-06 16:55:43",NULL,"2023-10-06 16:55:43"
18,24520,0,2,29,s,"2023-10-17 18:37:15",NULL,"2023-10-17 18:37:15"
18,26224,0,1,2,s,"2023-10-06 16:53:45",NULL,"2023-10-06 16:53:45"
18,26227,0,2,7,s,"2023-10-09 14:52:47",NULL,"2023-10-09 14:52:47"
18,26573,0,1,96,s,"2023-12-11 20:29:27",NULL,"2023-12-11 20:29:27"
10000,27248,0,1,58,s,"2023-11-01 16:45:51",NULL,"2023-12-01 16:38:10"
10009,22783,0,2,119,s,"2023-11-30 09:56:02",NULL,"2023-11-30 09:56:02"
10135,29130,0,1,120,s,"2023-11-30 11:07:07",NULL,"2023-11-30 11:07:07"
10141,21732,0,2,41,s,"2023-10-23 10:33:02",NULL,"2023-10-23 10:33:02"
10176,24433,0,1,121,s,"2023-12-01 11:01:13",NULL,"2023-12-01 11:01:13"
10197,10000,0,2,53,s,"2023-10-30 11:00:02",NULL,"2023-10-30 11:00:02"
10197,27154,0,2,54,s,"2023-10-30 14:52:36",NULL,"2023-10-30 14:52:36"
10212,21640,0,2,116,s,"2023-11-30 09:41:49",NULL,"2023-11-30 09:41:49"
10212,22783,0,2,115,s,"2023-11-30 09:39:07",NULL,"2023-11-30 09:43:07"
10276,10141,0,2,21,s,"2023-10-10 11:41:55",NULL,"2023-10-10 11:41:55"
10307,22992,0,2,109,s,"2023-11-27 16:57:01",NULL,"2023-11-27 16:57:01"
10307,28897,0,2,107,s,"2023-11-27 16:57:51",NULL,"2023-11-27 16:57:51"
10488,31716,0,2,198,s,"2024-01-10 09:38:25",NULL,"2024-01-10 09:38:25"
10488,31717,0,2,199,s,"2024-01-10 10:13:06",NULL,"2024-01-10 10:13:06"
20631,26706,0,2,15,s,"2023-10-18 16:08:11",NULL,"2023-10-18 16:08:11"
21413,18,0,2,19,s,"2023-10-15 09:52:52",NULL,"2023-10-15 09:52:52"
21413,19,21413,2,6,n,"2023-10-16 14:57:05","2023-12-07 10:41:56","2023-12-07 10:41:56"
21413,21503,0,2,26,s,"2023-10-13 16:53:34",NULL,"2023-10-13 16:53:34"
21489,26286,0,1,13,s,"2023-10-09 13:57:36",NULL,"2023-10-09 13:57:36"
21489,26301,0,2,18,s,"2023-10-10 10:24:32",NULL,"2023-10-10 10:24:32"
21489,31559,0,2,190,s,"2024-01-05 12:09:59",NULL,"2024-01-05 12:09:59"
21599,31003,0,2,172,s,"2023-12-26 09:42:28",NULL,"2023-12-26 09:42:28"
21640,23341,0,2,97,s,"2023-11-17 16:36:04",NULL,"2023-11-17 16:36:04"
22676,29883,0,1,131,s,"2023-12-07 14:21:59",NULL,"2023-12-07 14:21:59"
22676,30165,0,2,144,s,"2023-12-11 14:07:46",NULL,"2023-12-11 14:07:46"
22676,30175,0,1,146,s,"2023-12-12 09:52:31",NULL,"2023-12-12 09:52:31"
22821,23485,0,2,10,s,"2023-10-09 09:53:15",NULL,"2023-11-16 10:33:20"
22821,27590,0,1,68,s,"2023-11-08 10:13:38",NULL,"2023-11-08 10:13:38"
22846,25106,0,1,99,s,"2023-11-19 14:16:50",NULL,"2023-11-19 14:16:50"
23383,27295,0,2,61,s,"2023-11-03 09:10:12",NULL,"2023-11-03 09:10:12"
23383,27347,0,2,62,s,"2023-11-04 12:33:57",NULL,"2023-11-04 12:33:57"
23504,29864,0,1,129,s,"2023-12-07 10:15:57",NULL,"2023-12-07 10:15:57"
23512,23779,0,1,148,s,"2023-12-12 17:55:57",NULL,"2023-12-12 17:55:57"
24062,29728,0,1,126,s,"2023-12-06 13:24:03",NULL,"2023-12-06 13:24:03"
24104,28038,0,1,90,s,"2023-11-15 16:28:22",NULL,"2023-11-15 16:28:22"
24104,28040,0,2,91,s,"2023-11-15 16:31:49",NULL,"2023-11-15 16:31:49"
24474,27244,0,2,57,s,"2023-11-01 16:15:44",NULL,"2023-11-01 16:15:44"
24602,28013,0,1,87,s,"2023-11-16 11:46:06",NULL,"2023-11-16 11:46:06"
24658,29372,0,1,122,s,"2023-12-02 19:15:04",NULL,"2023-12-02 19:15:04"
24672,31196,0,1,174,s,"2023-12-26 19:18:35",NULL,"2023-12-26 19:18:35"
24672,31303,0,1,178,s,"2023-12-28 16:56:03",NULL,"2023-12-28 17:28:49"
24672,31305,0,2,180,s,"2023-12-28 17:04:27",NULL,"2023-12-28 17:04:27"
24672,31306,0,2,181,s,"2023-12-28 17:08:33",NULL,"2023-12-28 17:08:33"
24672,31351,0,1,182,s,"2023-12-29 19:17:51",NULL,"2023-12-29 19:17:51"
25000,26261,0,1,8,s,"2023-10-07 18:24:03",NULL,"2023-10-07 18:24:03"
25233,27418,0,1,65,s,"2023-11-06 08:27:13",NULL,"2023-11-06 08:27:13"
25233,28720,0,1,66,s,"2023-11-24 12:06:43",NULL,"2023-11-24 12:06:43"
25348,31679,0,1,196,s,"2024-01-09 16:12:24",NULL,"2024-01-09 16:12:24"
25358,26879,0,1,39,s,"2023-11-10 22:46:57",NULL,"2023-11-10 22:56:29"
25359,31641,0,2,194,s,"2024-01-08 14:34:11",NULL,"2024-01-08 14:34:11"
25528,25759,0,2,1,s,"2023-10-05 17:42:17",NULL,"2023-10-05 17:42:17"
25593,26729,0,1,34,s,"2023-10-18 21:00:49",NULL,"2023-10-18 21:00:49"
25679,28025,0,1,89,s,"2023-11-15 08:46:11",NULL,"2023-11-15 08:46:11"
26100,26428,0,1,25,s,"2023-10-13 13:39:22",NULL,"2023-10-13 13:39:22"
26305,21640,0,1,22,s,"2023-10-10 13:47:07",NULL,"2023-10-10 13:47:07"
26305,26325,0,2,23,s,"2023-10-10 17:34:12",NULL,"2023-10-10 17:34:12"
26321,26976,0,1,43,s,"2023-10-23 22:18:14",NULL,"2023-10-23 22:18:14"
26519,26522,0,2,27,s,"2023-10-16 15:13:15",NULL,"2023-10-16 15:13:15"
26519,26527,0,2,28,s,"2023-10-16 16:54:29",NULL,"2023-10-16 16:54:29"
26583,26610,0,1,30,s,"2023-10-17 19:54:35",NULL,"2023-10-17 19:54:35"
26645,26708,26645,2,31,n,"2023-10-19 13:22:41","2023-10-25 18:02:32","2023-10-25 18:02:32"
26645,26784,0,2,36,s,"2023-10-19 13:31:03",NULL,"2023-10-19 13:31:03"
26645,27064,0,2,49,s,"2023-10-25 18:03:00",NULL,"2023-10-25 18:03:00"
26645,30783,0,2,154,s,"2023-12-18 18:29:24",NULL,"2023-12-18 18:29:24"
26681,27763,0,1,72,s,"2023-11-09 22:46:37",NULL,"2023-11-09 22:46:37"
26720,26795,0,1,37,s,"2023-10-19 15:18:18",NULL,"2023-10-19 15:18:18"
26720,27203,0,2,55,s,"2023-10-31 16:32:46",NULL,"2023-10-31 16:32:46"
26727,28092,0,2,93,s,"2023-11-16 10:40:21",NULL,"2023-11-16 10:40:21"
26727,28096,0,1,94,s,"2023-11-16 11:05:41",NULL,"2023-11-16 11:05:41"
26973,27062,0,1,47,s,"2023-10-25 17:36:24",NULL,"2023-10-25 17:36:24"
27091,29097,0,1,113,s,"2023-11-30 07:33:01",NULL,"2023-11-30 07:33:01"
27126,27326,0,1,63,s,"2023-11-03 18:46:56",NULL,"2023-11-03 18:46:56"
27427,28069,0,1,92,s,"2023-11-16 05:35:27",NULL,"2023-11-16 05:35:27"
27537,30100,0,2,138,s,"2023-12-10 16:38:55",NULL,"2023-12-10 16:38:55"
27537,30641,0,2,153,s,"2023-12-16 14:57:00",NULL,"2023-12-16 14:57:00"
27661,27937,27661,1,78,n,"2023-11-13 17:59:23","2023-11-13 19:11:13","2023-11-13 19:11:13"
27665,27669,0,1,70,s,"2023-11-09 10:17:15",NULL,"2023-11-09 10:17:15"
27701,28393,0,1,101,s,"2023-11-21 17:15:23",NULL,"2023-11-21 17:15:23"
27733,27981,0,1,83,s,"2023-11-14 10:24:40",NULL,"2023-11-14 10:24:40"
27733,27986,0,2,85,s,"2023-11-14 11:17:42",NULL,"2023-11-14 11:17:42"
27733,27992,0,2,86,s,"2023-11-14 13:52:52",NULL,"2023-11-14 13:52:52"
27765,27828,0,1,77,s,"2023-11-10 21:55:33",NULL,"2023-11-10 21:55:33"
27824,29478,0,1,124,s,"2023-12-04 18:08:48",NULL,"2023-12-04 18:08:48"
28265,28756,0,1,104,s,"2023-11-24 16:41:57",NULL,"2023-11-24 16:41:57"
28711,29000,0,1,112,s,"2023-11-28 19:47:34",NULL,"2023-11-28 19:47:34"
28867,29120,0,1,114,s,"2023-11-30 10:25:23",NULL,"2023-11-30 10:25:23"
28867,31301,0,2,177,s,"2023-12-28 16:44:32",NULL,"2023-12-28 16:44:32"
28867,31304,0,2,179,s,"2023-12-28 17:00:02",NULL,"2023-12-28 17:00:02"
28867,31307,0,2,183,s,"2023-12-28 17:09:09",NULL,"2023-12-28 17:09:09"
28867,31308,0,2,184,s,"2023-12-28 17:20:21",NULL,"2023-12-28 17:20:21"
28972,31561,0,1,191,s,"2024-01-05 12:40:12",NULL,"2024-01-05 12:40:12"
28972,31562,0,2,192,s,"2024-01-05 12:46:34",NULL,"2024-01-05 12:46:34"
28972,31563,0,2,193,s,"2024-01-05 12:46:45",NULL,"2024-01-05 12:46:45"
28972,31667,0,2,195,s,"2024-01-09 11:37:59",NULL,"2024-01-09 11:37:59"
29134,10009,0,2,123,s,"2023-12-05 01:17:08",NULL,"2023-12-05 01:17:08"
29586,29945,0,1,133,s,"2023-12-08 09:09:41",NULL,"2023-12-08 09:09:41"
29586,29948,0,2,134,s,"2023-12-08 09:18:53",NULL,"2023-12-08 09:18:53"
29586,29953,0,2,136,s,"2023-12-08 10:07:39",NULL,"2023-12-08 10:07:39"
29589,30244,0,1,147,s,"2023-12-12 09:55:03",NULL,"2023-12-12 09:55:03"
30042,30323,0,1,150,s,"2023-12-13 08:45:05",NULL,"2023-12-13 08:45:05"
30169,31448,0,1,186,s,"2024-01-02 14:05:12",NULL,"2024-01-02 14:05:12"
30436,10009,0,1,155,s,"2023-12-19 15:54:58",NULL,"2023-12-19 15:54:58"
30436,10488,0,2,188,s,"2024-01-10 18:11:11",NULL,"2024-01-10 18:11:11"
30436,27416,0,2,156,s,"2023-12-19 17:07:57",NULL,"2023-12-19 17:07:57"
30436,31483,0,2,200,s,"2024-01-10 16:18:21",NULL,"2024-01-10 16:18:21"
31083,31224,0,1,175,s,"2023-12-27 12:47:29",NULL,"2023-12-27 12:47:29"
